Sequência;Data oficial;Objeto;Destinos;Cidades;Pastas;Órgão;Situação;Liderança;Valor total;Valor liberado
2829;17/11/2025;Solicitação de destinação de Emenda Parlamentar;Irmandade Evangélica Betânia;Curitiba;;;Recebida;;R$ 0,00;R$ 0,00
2828;17/11/2025;Solicitação de destinação de emenda - 2024;Associação do Amigo Animal;Curitiba;Emendas 2026/2027;;Recebida;;R$ 210.000,00;R$ 0,00
2827;17/11/2025;Emenda á despesa;"Instituto Paranaense de Cegos ";Curitiba;;;Recebida;;R$ 0,00;R$ 0,00
2826;17/11/2025;Investimento para material esportivo, uniformes, calçados e equipamentos eletrônicos;Associação Além da Visão;Curitiba;Emendas 2026/2027;;Recebida;;R$ 60.000,00;R$ 0,00
2823;17/11/2025;Solicitação de Emenda Parlamentar;Apoio á Criança com Câncer - APACN;Curitiba;Emendas 2026/2027;;Recebida;;R$ 0,00;R$ 0,00
2822;17/11/2025;Emenda para custeio via Fundo Municipal de Saúde;Hospital da Providência;Apucarana;Emendas 2026/2027;;Recebida;;R$ 500.000,00;R$ 0,00
2821;17/11/2025;Indicação de Emenda Parlamentar afim de adquirir produtos para montar salão de beleza;Associação de Pais e Amigos dos Excepcionais;Ibema;Emendas 2026/2027;;Recebida;;R$ 0,00;R$ 0,00
2820;17/11/2025;Recurso de emenda a despesa para aquisição de equipamentos e consumo;Associação de Pais e Amigos dos Excepcionais;São Jorge do Ivaí;Emendas 2026/2027;;Recebida;;R$ 0,00;R$ 0,00
2819;17/11/2025;Emenda Parlamentar para ser aplicada para Custeio;Hospital Nossa Senhora das Graças - Maternidade Mater Dei;Curitiba;Emendas 2026/2027;;Recebida;;R$ 500.000,00;R$ 0,00
2818;17/11/2025;Solicitação de Emenda Parlamentar;"Amor Maior - Associação de Atendimento e Apoio ao Autista ";Tijucas do Sul;Emendas 2026/2027;;Recebida;;R$ 0,00;R$ 0,00
2817;17/11/2025;Solicitação de Emenda Parlamentar;Associação de Pais e Amigos dos Excepcionais;Tijucas do Sul;Emendas 2026/2027;;Recebida;;R$ 0,00;R$ 0,00
2815;17/11/2025;Solicitação de Emenda Parlamentar;Instituto Médico Nossa Vida;Coronel Vivida;Emendas 2026/2027;;Recebida;;R$ 500.000,00;R$ 0,00
2814;17/11/2025;Emenda Parlamentar no valor de R$ 50.000,00 .;Congregação Missionária do Santíssimo Redentor;Curitiba;Emendas 2026/2027;;Recebida;;R$ 50.000,00;R$ 0,00
2813;17/11/2025;Apoio á educação especializada;Centro de Orientação e Controle de Excepcionais de Curitiba - COCEC;Curitiba;Emendas 2026/2027;;Recebida;;R$ 0,00;R$ 0,00
2811;17/11/2025;Emenda a despesa - Para aquisição de equipamentos para sede Associação Projeto Cambará;Associação Projeto Cambará;Cambará;Emendas 2026/2027;;Recebida;;R$ 0,00;R$ 0,00
2809;17/11/2025;Indicação de Emenda Parlamentar para Associação Família de Maria - Instituto São Zygmunt;"Associação Família de Maria ";Curitiba;Emendas 2026/2027;;Recebida;;R$ 0,00;R$ 0,00
2807;17/11/2025;Solicitação de disponibilização de recursos via SISTAG;Santa Casa de Maringá;Maringá;Emendas 2026/2027;;Recebida;;R$ 0,00;R$ 0,00
2806;17/11/2025;Solicitação de Recurso;Associação Refúgio Organização Civil;Cambé;Emendas 2026/2027;;Recebida;;R$ 100.000,00;R$ 0,00
2805;17/11/2025;Solicitação de Emenda Parlamentar para preservar e aprimorar a estrutura da APAE;Associação de Pais e Amigos dos Excepcionais;São Sebastião da Amoreira;Emendas 2026/2027;;Recebida;;R$ 0,00;R$ 0,00
2804;17/11/2025;Emenda Parlamentar de Custeio;Hospital da Criança de Maringá;Maringá;Emendas 2026/2027;Secretaria Municipal de Saúde;Recebida;;R$ 200.000,00;R$ 0,00
2802;17/11/2025;Agradecimento pela Emenda Parlamentar destinada para aquela APAE;Associação de Pais e Amigos dos Excepcionais;São José dos Pinhais;Emendas 2026/2027;;Recebida;;R$ 0,00;R$ 0,00
2801;17/11/2025;Emenda Parlamentar - Para investimentos na APAE;"Associação de Pais e Amigos dos Excepcionais ";Campo Mourão;Emendas 2026/2027;;Recebida;;R$ 200.000,00;R$ 0,00
2800;17/11/2025;Emenda Parlamentar - R$ 100.000,00 para adquirir equipamentos para as necessidades do hospital.;"Santa Casa da Misericórdia Nossa Senhora das Graças ";Piên;Emendas 2026/2027;;Recebida;;R$ 100.000,00;R$ 0,00
2799;14/11/2025;Emenda Parlamentar para manutenção de suas atividades;Associação do Deficiente Motor - Vivian Marçal;Curitiba;Emendas 2026/2027;;Recebida;;R$ 0,00;R$ 0,00
2793;14/11/2025;Apoio Financeiro Via Emenda Parlamentar;Instituto - Incanto;Curitiba;Emendas 2026/2027;;Recebida;;R$ 0,00;R$ 0,00
2792;14/11/2025;Emenda Parlamentar - Para Bens Capitais;Associação Tempo de Milagres - Projeto Jeremias;Curitiba;Emendas 2026/2027;;Recebida;;R$ 0,00;R$ 0,00
2790;14/11/2025;Recurso R$ 100.000,00;Amigos do Autista;Campo Mourão;Emendas 2026/2027;;Recebida;;R$ 100.000,00;R$ 0,00
2788;14/11/2025;Recurso para Construção de uma Nova Sede;Associação do Deficiente do Deficiente de Cianorte;Cianorte;Emendas 2026/2027;;Recebida;;R$ 2.500.000,00;R$ 0,00
2786;14/11/2025;Emenda Parlamentar;Instituto Somar;Curitiba;Emendas 2026/2027;;Recebida;;R$ 100.000,00;R$ 0,00
2785;14/11/2025;Solicitação de Emenda Parlamentar para Fortalecimento das Ações da Associação Reviver;Associação Reviver de Assistência ao Portador do Vírus HIV;Ponta Grossa;Emendas 2026/2027;;Recebida;;R$ 0,00;R$ 0,00
2784;14/11/2025;IX Show de Prêmios da Apae de Atalaia - Patrocínio;Associação de Pais e Amigos dos Excepcionais;Atalaia;Emendas 2026/2027;;Recebida;;R$ 0,00;R$ 0,00
2783;14/11/2025;Emenda Parlamentar - R$ 200.000,00;Associação de Pais e Amigos dos Excepcionais;Lindoeste;Emendas 2026/2027;;Recebida;;R$ 200.000,00;R$ 0,00
2772;10/11/2025;Equipamentos e mobiliários;Prefeitura Municipal de Joaquim Távora;Joaquim Távora;Emendas 2026/2027;Secretaria de Estado da Saúde - SESA;Recebida;;R$ 0,00;R$ 0,00
2754;29/10/2025;Veículo Van;Serviços de Obras Sociais de Cianorte;Cianorte;Emendas 2026/2027;Secretaria de Estado das Cidades - SECID;Recebida;;R$ 0,00;R$ 0,00
2747;28/10/2025;Melhorias estruturais do Posto Eldorado;Câmara Municipal de Palmas;Palmas;Emendas 2026/2027;;Recebida;Pilati/ Daniela Verona Bahls - Vereadora;R$ 0,00;R$ 0,00
1003;25/10/2023;UTILIDADE PÚBLICA;REDE FEMININA DE COMBATE AO CÂNCER DE PALMAS;Palmas;;ALEP - Assembleia Legislativa do Pr.;Atendida;Pilati /Ricardinho (Vereador)  (46) 98806-7130;R$ 0,00;R$ 0,00
126;19/01/2026;Ar condicionado (10);Lar para Idoso Paulo Izac;Santana do Itararé;Emendas 2026/2027;ALEP - Assembleia Legislativa do Pr.;Recebida;Telo do Venerando;R$ 0,00;R$ 0,00
125;03/12/2025;Solicitação de Emenda Parlamentar;Centro de Referência de Assistência Social - CRAS;Nova Aurora;Emendas 2026/2027;;Recebida;;R$ 200.000,00;R$ 0,00
124;26/11/2025;Emenda Parlamentar;Projeto Vida;Curitiba;Emendas 2026/2027;;Recebida;;R$ 0,00;R$ 0,00
123;25/11/2025;Emenda Parlamentar;Escola Forrest Gump;Curitiba;Emendas 2026/2027;;Recebida;;R$ 0,00;R$ 0,00
122;24/11/2025;Recursos;Fundação Ecumênica de Proteção ao Excepcional - FEPE;Curitiba;Demandas de Cap. Recursos;;Recebida;;R$ 0,00;R$ 0,00
121;04/11/2025;Emendas à despesa;APACD - Associação Pontagrossense de Assistência à Criança com Deficiência;Ponta Grossa;Emendas à Despesa 2025;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Em andamento;;R$ 50.000,00;R$ 0,00
120;04/11/2025;Emendas à despesa;S.O.S. GUARDA MIRIM DE ARAPONGAS - 75.409524/0001-30;;Emendas à Despesa 2025;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Em andamento;;R$ 50.000,00;R$ 0,00
119;04/11/2025;Investimento;Amor Maior;Tijucas do Sul;Emendas à Despesa 2025;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Em andamento;;R$ 25.000,00;R$ 0,00
118;04/11/2025;Investimento;NOSSO CANTO CENTRO DE ADAPTACAO NEUROLOGICA TOTAL - 75.423.954/0001-06;Foz do Iguaçu;Emendas à Despesa 2025;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Em andamento;;R$ 25.000,00;R$ 0,00
117;04/11/2025;Investimento;Irmandade Santa Casa de Arapongas;Arapongas;Emendas à Despesa 2025;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Em andamento;;R$ 100.000,00;R$ 0,00
116;04/11/2025;Investimento;Comunidade Servos do Imaculado Coração da Virgem Maria;Arapongas;Emendas à Despesa 2025;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Em andamento;;R$ 50.000,00;R$ 0,00
115;04/11/2025;Investimento;Casa do Aguardo Professor Hideo Okuyama;Arapongas;Emendas à Despesa 2025;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Em andamento;;R$ 50.000,00;R$ 0,00
114;04/11/2025;Investimento;Associação das Damas de Caridade;Arapongas;Emendas à Despesa 2025;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Em andamento;;R$ 50.000,00;R$ 0,00
