Sequência;Data oficial;Objeto;Destinos;Cidades;Pastas;Órgão;Situação;Liderança;Valor total;Valor liberado
88;04/11/2025;Investimento - Acordo Parlamentar;Apae - Associação de Pais e Amigos dos Excepcionais de Bom Sucesso;Bom Sucesso;Emendas à Despesa 2025;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Em andamento;;R$ 25.000,00;R$ 0,00
87;04/11/2025;Investimento;Apae - Associação de Pais e Amigos dos Excepcionais de Atalaia;Atalaia;Emendas à Despesa 2025;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Em andamento;;R$ 25.000,00;R$ 0,00
86;04/11/2025;Investimento;Apae - Associação de Pais e Amigos dos Excepcionais de Astorga;Astorga;Emendas à Despesa 2025;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Em andamento;;R$ 25.000,00;R$ 0,00
85;25/08/2025;"Projeto de Lei - Utilidade Pública ";Lions Clube Curitiba Batel;Curitiba;Terceiro Setor e Jurídico;;Em andamento;;R$ 0,00;R$ 0,00
84;19/11/2024;Equipamentos e consumo;APAE - PR;São Jorge do Ivaí;Emendas à Despesa 2025;;Priorizar;;R$ 0,00;R$ 0,00
83;19/11/2024;Investimento;IPC - Instituto Paranaense dos Cegos;Curitiba;Emendas à Despesa 2025;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Priorizar;;R$ 25.000,00;R$ 0,00
81;05/11/2024;Projeto Cultural e Social;Associação Beneficente Eduardo Filho - ABEF;Curitiba;Emendas à Despesa 2025;;Priorizar;;R$ 200.000,00;R$ 0,00
80;05/11/2024;Custeio/ Investimento;Irmandade Evangélica Betânia;Curitiba;Emendas à Despesa 2025;;Priorizar;;R$ 200.000,00;R$ 0,00
79;05/11/2024;Custeio/ Investimento;Província de Curitiba - Filhas da Caridade de São Vicente de Paulo;Laranjeiras do Sul;Emendas à Despesa 2025;;Priorizar;;R$ 200.000,00;R$ 0,00
78;05/11/2024;Emendas à despesa;Associação Amigo Animal;Curitiba;Emendas 2026/2027;;Priorizar;;R$ 210.000,00;R$ 0,00
77;05/11/2024;Equipamentos e Mobiliários;Amor Maior;Tijucas do Sul;Emendas à Despesa 2025;;Priorizar;;R$ 0,00;R$ 0,00
76;04/11/2024;Equipamentos e consumo;APAE - PR;Tijucas do Sul;Emendas à Despesa 2025;;Priorizar;;R$ 0,00;R$ 0,00
75;21/10/2024;Equipamentos e mobiliários;Erasto Gaertner;Curitiba;Emendas à Despesa 2025;;Priorizar;;R$ 100.000,00;R$ 0,00
74;21/10/2024;Emenda Parlamentar Custeio/ Investimento;Hospital São Camilo;Ponta Grossa;Emendas à Despesa 2025;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Priorizar;;R$ 800.000,00;R$ 0,00
73;14/10/2024;Investimento - Acordo Parlamentar;APAE - PR;Curitiba;Emendas à Despesa 2024;Secretaria de Estado do Desenvolvimento Sustentável - SEDEST;Pago;;R$ 100.000,00;R$ 100.000,00
72;14/10/2024;Investimento - Acordo Parlamentar;APAE - PR;Rio Negro;Emendas à Despesa 2024;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Pago;;R$ 50.000,00;R$ 50.000,00
71;14/10/2024;Investimento - Acordo Parlamentar;Comunidade Servos do Imaculado Coração da Virgem Maria;Arapongas;Emendas à Despesa 2024;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Pago;;R$ 50.000,00;R$ 50.000,00
70;14/10/2024;Investimento - Acordo Parlamentar;Lar São Vicente de Paulo;Arapongas;Emendas à Despesa 2024;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Pago;;R$ 50.000,00;R$ 50.000,00
69;14/10/2024;Investimento - Acordo Parlamentar;APAE - PR;Arapongas;Emendas à Despesa 2024;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Pago;;R$ 100.000,00;R$ 100.000,00
67;01/07/2024;Rugby League Cadeira De Rodas - Ultrapassando Limi;Saúde Esporte Sociedade Esportiva;Curitiba;Demandas de Cap. Recursos;Secretaria de Estado do Esporte - SEES;Priorizar;;R$ 262.848,50;R$ 0,00
66;01/07/2024;Competição Internacional: Rugby em Cadeira de Roda;Saúde Esporte Sociedade Esportiva;;Demandas de Cap. Recursos;Secretaria de Estado do Esporte - SEES;Priorizar;;R$ 279.798,75;R$ 0,00
65;01/07/2024;Incentivo para Prática do Rugby em Cadeira de Roda;Saúde Esporte Sociedade Esportiva;Curitiba;Demandas de Cap. Recursos;Secretaria de Estado do Esporte - SEES;Priorizar;;R$ 139.852,64;R$ 0,00
64;01/07/2024;Competição Internacional: Rugby Mania 2024;Saúde Esporte Sociedade Esportiva;Curitiba;Demandas de Cap. Recursos;Secretaria de Estado do Esporte - SEES;;;R$ 217.762,02;R$ 0,00
63;01/07/2024;OSC: Saúde Esporte Sociedade Esportiva;OSC: Saúde Esporte Sociedade Esportiva;Curitiba;Demandas de Cap. Recursos;Copel;Priorizar;;R$ 189.000,00;R$ 0,00
37;27/02/2024;"Investimento ";Associação de Assistência ao Excepcional do Paraná;Curitiba;Emendas à Despesa 2024;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;Pago;;R$ 65.000,00;R$ 65.000,00
34;27/02/2024;"Ampliação de Escolas Especiais ";APAE - PR;;Emenda ao texto da lei;ALEP - Assembleia Legislativa do Pr.;Em andamento;;R$ 50.000.000,00;R$ 0,00
