Número/Ano;Tipo;Título;Cidade;Solicitações
2/2022;Interno;LISTAGEM P/ INCLUSÃO BANCO ALIMENTOS CEASA;;137-Banco de Alimentos - Comida Boa, 138-Banco de Alimentos - Comida Boa, 139-Banco de Alimentos - Comida Boa, 140-Banco de Alimentos - Comida Boa, 141-Banco de Alimentos - Comida Boa, 142-Banco de Alimentos - Comida Boa, 143-Banco de Alimentos - Comida Boa, 144-Banco de Alimentos - Comida Boa, 145-Banco de Alimentos - Comida Boa, 146-Banco de Alimentos - Comida Boa, 148-Banco de Alimentos - Comida Boa, 149-Banco de Alimentos - Comida Boa, 150-Banco de Alimentos - Comida Boa, 151-Banco de Alimentos - Comida Boa, 152-Banco de Alimentos - Comida Boa, 153-Banco de Alimentos - Comida Boa, 154-Banco de Alimentos - Comida Boa, 155-Banco de Alimentos - Comida Boa, 156-Banco de Alimentos - Comida Boa, 157-Banco de Alimentos - Comida Boa, 158-Banco de Alimentos - Comida Boa, 159-Banco de Alimentos - Comida Boa, 160-Banco de Alimentos - Comida Boa, 161-Banco de Alimentos - Comida Boa, 162-Banco de Alimentos - Comida Boa, 163-Banco de Alimentos - Comida Boa, 164-Banco de Alimentos - Comida Boa, 165-Banco de Alimentos - Comida Boa, 167-Banco de Alimentos - Comida Boa, 168-Banco de Alimentos - Comida Boa, 169-Banco de Alimentos - Comida Boa, 170-Banco de Alimentos - Comida Boa, 171-Banco de Alimentos - Comida Boa, 173-Banco de Alimentos - Comida Boa
7/2021;Interno;Conjunto Educatron;;
5/2021;Interno;ASSOC. ASSIST. EXCEPCIONAL DO PARANÁ;;
4/2021;Interno;COPEL - PORECATU;;84-SOLICITAÇÃO MELHORIAS NA REDE DO CONDOMÍNIO
3/2021;Interno;TREVO E ADEQUAÇÃO - PORECATU;;
2/2021;Interno;ENCARGOS DP;;
0/2021;Interno;carta felicitações;;
1/2021;Interno;DISPONIBILIDADE FUNCIONAL;;
3333/2021;Interno;OF 03/2021 DEP. Cedência profissionais para Apae;;
22222/2022;Interno;OF 002/2022 - MINISTRO QUEIROGA;;106-REVISÃO DOS PROCEDIMENTOS ENTIDADES PESSOAS C/ DEFICIÊNCIA
1/2022;Interno;EQUIPARAÇÃO SALARIAL APAEs;;16-EQUIPARAÇÃO SALARIAL APAEs
