Sequência;Data oficial;Ofício (antigo);Título;Tipo;Órgão;Ofícios;Cidade;Situação;Criador
3156;19/03/2024;;Importação de Atendimentos;3º Setor;;;Peabiru - PR;Aguardando atendimento;Lucilene Marques
3155;19/03/2024;;Importação de Atendimentos;3º Setor;;;Curitiba - PR;Aguardando atendimento;Lucilene Marques
3154;19/03/2024;;Importação de Atendimentos;3º Setor;;;Icaraíma - PR;Aguardando atendimento;Lucilene Marques
3153;19/03/2024;;Importação de Atendimentos;3º Setor;;;Figueira - PR;Aguardando atendimento;Lucilene Marques
3152;18/03/2024;;Importação de Atendimentos;3º Setor;;;Ibaiti - PR;Aguardando atendimento;Lucilene Marques
3151;18/03/2024;;Importação de Atendimentos;3º Setor;;;Mauá da Serra - PR;Aguardando atendimento;Lucilene Marques
3150;18/03/2024;;Importação de Atendimentos;3º Setor;;;Laranjeiras do Sul - PR;Aguardando atendimento;Lucilene Marques
3149;18/03/2024;;Importação de Atendimentos;3º Setor;;;Francisco Beltrão - PR;Aguardando atendimento;Lucilene Marques
3148;18/03/2024;;Importação de Atendimentos;3º Setor;;;Ubiratã - PR;Aguardando atendimento;Lucilene Marques
3147;18/03/2024;;Importação de Atendimentos;3º Setor;;;Jardim Alegre - PR;Aguardando atendimento;Lucilene Marques
3146;18/03/2024;;Importação de Atendimentos;3º Setor;;;Braganey - PR;Aguardando atendimento;Lucilene Marques
3145;18/03/2024;;Importação de Atendimentos;3º Setor;;;Ivaiporã - PR;Aguardando atendimento;Lucilene Marques
3144;18/03/2024;;Importação de Atendimentos;3º Setor;;;Foz do Iguaçu - PR;Aguardando atendimento;Lucilene Marques
3143;18/03/2024;;Importação de Atendimentos;3º Setor;;;Pinhais - PR;Aguardando atendimento;Lucilene Marques
3142;18/03/2024;;Importação de Atendimentos;3º Setor;;;Tunas do Paraná - PR;Aguardando atendimento;Lucilene Marques
3141;18/03/2024;;Importação de Atendimentos;3º Setor;;;Arapongas - PR;Aguardando atendimento;Lucilene Marques
3140;18/03/2024;;Importação de Atendimentos;3º Setor;;;Porto Amazonas - PR;Aguardando atendimento;Lucilene Marques
3139;18/03/2024;;Importação de Atendimentos;3º Setor;;;São Sebastião da Amoreira - PR;Aguardando atendimento;Lucilene Marques
3138;18/03/2024;;Importação de Atendimentos;3º Setor;;;Terra Roxa - PR;Aguardando atendimento;Lucilene Marques
3137;18/03/2024;;Importação de Atendimentos;3º Setor;;;Rio Negro - PR;Aguardando atendimento;Lucilene Marques
3136;18/03/2024;;Importação de Atendimentos;3º Setor;;;Conselheiro Mairinck - PR;Aguardando atendimento;Lucilene Marques
3135;18/03/2024;;Importação de Atendimentos;3º Setor;;;Pinhal de São Bento - PR;Aguardando atendimento;Lucilene Marques
3134;18/03/2024;;Importação de Atendimentos;3º Setor;;;Laranjeiras do Sul - PR;Aguardando atendimento;Lucilene Marques
3133;18/03/2024;;Importação de Atendimentos;3º Setor;;;Laranjeiras do Sul - PR;Aguardando atendimento;Lucilene Marques
3132;18/03/2024;;Importação de Atendimentos;3º Setor;;;Mauá da Serra - PR;Aguardando atendimento;Lucilene Marques
3131;18/03/2024;;Importação de Atendimentos;3º Setor;;;Arapongas - PR;Aguardando atendimento;Lucilene Marques
3130;15/03/2024;;Importação de Atendimentos;3º Setor;;;Cafelândia - PR;Aguardando atendimento;Lucilene Marques
3129;14/03/2024;;Importação de Atendimentos;3º Setor;;;Curitiba - PR;Aguardando atendimento;Lucilene Marques
3128;14/03/2024;;Importação de Atendimentos;3º Setor;;;Jussara - PR;Aguardando atendimento;Lucilene Marques
3127;14/03/2024;;Importação de Atendimentos;3º Setor;;;Pinhais - PR;Aguardando atendimento;Lucilene Marques
3126;11/03/2024;;Importação de Atendimentos;3º Setor;;;Arapongas - PR;Aguardando atendimento;Lucilene Marques
